"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Mar-2024","EQ","100.10","100.21","98.98","100.12","98.98","99.06","99.26","102.60","71.03","926","91,912.05","33"
"18-Mar-2024","EQ","100.00","100.59","99.85","100.40","100.15","100.12","100.11","102.60","71.03","672","67,274.09","39"
"15-Mar-2024","EQ","100.83","102.10","99.76","100.84","102.10","100.40","100.30","102.60","70.96","2,045","2,05,120.82","47"
"14-Mar-2024","EQ","99.00","100.90","98.46","95.36","100.86","100.84","99.95","102.60","70.96","2,393","2,39,178.24","65"
"13-Mar-2024","EQ","101.06","101.06","83.01","100.88","99.00","95.36","97.06","102.60","70.96","2,394","2,32,350.96","72"
"12-Mar-2024","EQ","102.45","102.45","100.60","100.15","101.22","100.88","100.87","102.60","70.96","2,693","2,71,632.85","54"
"11-Mar-2024","EQ","102.17","102.45","99.00","102.08","99.00","100.15","101.48","102.60","70.96","1,932","1,96,060.67","71"
"07-Mar-2024","EQ","101.49","102.19","100.91","101.19","102.19","102.08","101.53","102.60","70.96","2,423","2,45,996.52","56"
"06-Mar-2024","EQ","98.87","101.19","98.87","100.89","101.19","101.19","99.93","102.60","70.96","2,583","2,58,116.51","46"
"05-Mar-2024","EQ","100.72","100.91","100.11","100.73","100.76","100.89","100.73","102.60","70.96","1,410","1,42,024.12","52"
"04-Mar-2024","EQ","101.50","101.50","100.38","101.50","100.55","100.73","100.63","102.60","70.96","2,077","2,09,010.27","63"
"02-Mar-2024","EQ","101.19","101.50","101.07","100.69","101.50","101.50","101.42","102.60","70.96","125","12,677.37","7"
"01-Mar-2024","EQ","101.51","101.51","100.04","99.67","100.69","100.69","100.41","102.60","70.96","801","80,428.64","32"
"29-Feb-2024","EQ","99.69","99.84","99.21","99.83","99.84","99.67","99.52","102.60","70.96","1,044","1,03,895.67","44"
"28-Feb-2024","EQ","101.47","101.47","99.75","100.79","99.84","99.83","100.24","102.60","70.96","928","93,020.46","49"
"27-Feb-2024","EQ","100.80","101.21","100.23","100.80","100.80","100.79","100.59","102.60","70.96","2,521","2,53,598.17","51"
"26-Feb-2024","EQ","99.75","101.21","99.75","101.21","100.80","100.80","100.69","102.60","70.96","448","45,107.58","45"
"23-Feb-2024","EQ","101.06","101.65","100.80","101.47","101.43","101.21","101.04","102.60","70.96","1,137","1,14,883.15","51"
"22-Feb-2024","EQ","102.60","102.60","99.51","100.62","101.52","101.47","100.60","102.60","70.96","1,020","1,02,608.07","58"
"21-Feb-2024","EQ","100.90","101.20","100.15","100.33","100.72","100.62","100.87","102.35","70.96","3,705","3,73,723.36","54"
"20-Feb-2024","EQ","100.48","100.61","99.92","100.73","100.22","100.33","100.29","102.35","70.96","758","76,018.44","47"
"19-Feb-2024","EQ","100.00","102.10","99.98","99.98","100.48","100.73","100.39","102.35","70.96","3,293","3,30,583.26","76"
"16-Feb-2024","EQ","99.00","100.33","99.00","98.70","99.99","99.98","99.54","102.35","70.96","18,872","18,78,583.46","64"
"15-Feb-2024","EQ","98.00","99.50","98.00","97.65","98.68","98.70","98.88","102.35","70.96","2,806","2,77,446.21","56"
"14-Feb-2024","EQ","99.05","99.05","96.25","98.28","96.25","97.65","97.74","102.35","70.96","780","76,234.50","47"
"13-Feb-2024","EQ","97.62","98.39","97.26","97.46","98.29","98.28","98.00","102.35","70.96","9,932","9,73,321.81","43"
"12-Feb-2024","EQ","99.05","99.05","97.34","98.25","97.34","97.46","98.06","102.35","70.96","4,347","4,26,279.85","72"
"09-Feb-2024","EQ","98.49","98.49","97.60","98.02","98.26","98.25","98.04","102.35","70.96","1,621","1,58,916.03","37"
"08-Feb-2024","EQ","98.69","98.69","97.60","98.79","97.98","98.02","98.20","102.35","70.96","3,647","3,58,123.29","76"
"07-Feb-2024","EQ","95.70","98.80","95.70","97.71","98.70","98.79","98.13","102.35","70.96","3,749","3,67,878.62","65"
"06-Feb-2024","EQ","97.23","98.07","95.70","97.05","95.70","97.71","97.46","102.35","70.96","894","87,131.61","47"
"05-Feb-2024","EQ","97.99","98.47","96.79","97.96","97.50","97.05","97.52","102.35","70.96","1,588","1,54,864.36","58"
"02-Feb-2024","EQ","98.02","98.70","97.60","98.02","97.65","97.96","98.03","102.35","70.96","5,582","5,47,205.70","58"
"01-Feb-2024","EQ","98.11","98.49","97.65","97.87","98.01","98.02","98.11","102.35","70.96","1,140","1,11,850.11","63"
"31-Jan-2024","EQ","96.91","97.88","96.60","96.91","97.85","97.87","97.25","102.35","70.96","2,156","2,09,670.29","64"
"30-Jan-2024","EQ","97.72","99.76","96.33","97.60","96.35","96.91","97.21","102.35","70.96","4,122","4,00,690.87","66"
